pk_column,requested_datetime,closed_date,updated_datetime,open,closed,service_name,lat,long,district,deltaDate
21044,2016-11-19T14:03:00,2016-11-29T00:02:00,2016-11-29T00:02:00,0,1,Graffiti,32.7181731351,-117.025942057,4,10
21046,2016-11-19T13:08:00,2016-11-29T00:02:00,2016-11-29T00:02:00,0,1,Graffiti,32.7336179233,-117.161468547,3,10
21047,2016-11-19T12:53:00,2016-11-24T00:02:00,2016-11-24T00:02:00,0,1,Graffiti,32.732987,-117.089036,4,5
21048,2016-11-19T12:22:00,2017-04-19T15:24:00,2017-09-22T17:16:00,0,1,Graffiti,32.808562,-117.218452,2,151
21049,2016-11-19T12:12:00,2016-12-16T00:01:00,2016-12-16T00:01:00,0,1,Graffiti,32.716595,-117.159493,3,27
21050,2016-11-19T11:29:00,2016-11-24T00:02:00,2016-11-24T00:02:00,0,1,Graffiti,32.563984,-117.083866,8,5
21051,2016-11-19T11:17:00,2017-10-27T07:45:00,2017-10-27T07:45:00,0,1,Graffiti,32.7955071948,-117.255853882,2,342
21052,2016-11-19T11:12:00,2016-11-29T00:02:00,2016-11-29T00:02:00,0,1,Graffiti,32.561569,-117.083955,8,10
21053,2016-11-19T11:02:00,2016-11-29T00:02:00,2016-11-29T00:02:00,0,1,Graffiti,32.557545,-117.062412,8,10
21054,2016-11-19T10:33:00,2016-11-20T00:01:00,2016-11-20T00:01:00,0,1,Graffiti,32.7714929656,-117.063059736,9,1
21055,2016-11-19T01:29:00,2016-12-21T00:02:00,2016-12-21T00:02:00,0,1,Graffiti,32.7556611,-117.1187485,3,32
21056,2016-11-19T01:23:00,2016-12-21T00:02:00,2016-12-21T00:02:00,0,1,Graffiti,32.7548042,-117.1139643,9,32
21057,2016-11-19T01:14:00,2016-11-29T00:02:00,2016-11-29T00:02:00,0,1,Graffiti,32.7550082,-117.1219418,9,10
21058,2016-11-19T01:12:00,2017-01-26T21:33:00,2017-01-26T21:33:00,0,1,Graffiti,32.7555059,-117.1188681,3,68
21059,2016-11-19T01:05:00,2016-11-29T00:02:00,2016-11-29T00:02:00,0,1,Graffiti,32.7549373,-117.1165386,9,10
